Designator,Mid X,Mid Y,Layer,Rotation
REF**,84.500501,-128.999001,top,0
REF**,122.001005,-120.500003,top,0
REF**,21.000997,-33.998998,top,0
REF**,98.500002,-76.001001,top,0
REF**,51.499998,-93.999001,top,0
REF**,165.999005,-84.500001,top,0
REF**,97.500002,-76.001001,top,0
REF**,118.999002,-84.500001,top,0
REF**,38.500497,-76.001002,top,0
REF**,24.335163,-41.000998,top,0
REF**,28.000997,-33.999498,top,0
REF**,28.000997,-29.832414,top,0
REF**,39.500497,-58.998999,top,0
REF**,75.001002,-121.500003,top,0
REF**,133.500502,-76.001002,top,0
REF**,109.499502,-128.999006,top,0
REF**,98.500002,-58.998998,top,0
REF**,165.99902,-173.500762,top,0
REF**,28.000997,-171.833928,top,0
REF**,165.99902,-166.833428,top,0
REF**,95.500002,-41.000998,top,0
REF**,50.499998,-58.998998,top,0
REF**,59.499499,-41.000999,top,0
REF**,28.000997,-34.832914,top,0
REF**,86.500501,-128.999001,top,0
REF**,86.500501,-58.998999,top,0
REF**,134.500502,-163.999003,top,0
REF**,28.000998,-120.500003,top,0
REF**,118.999002,-83.500001,top,0
REF**,145.500005,-76.001001,top,0
REF**,95.500002,-111.001004,top,0
REF**,28.000998,-155.500006,top,0
REF**,61.499499,-93.999002,top,0
REF**,39.500497,-76.001002,top,0
REF**,165.99902,-34.832914,top,0
REF**,122.001004,-83.500001,top,0
REF**,172.165093,-41.000998,top,0
REF**,144.500005,-146.001006,top,0
REF**,122.001005,-154.500006,top,0
REF**,165.999006,-153.500006,top,0
REF**,86.500501,-163.999002,top,0
REF**,143.500005,-111.001004,top,0
REF**,38.500497,-146.00101,top,0
REF**,175.49876,-163.999015,top,0
REF**,153.499508,-76.001,top,0
REF**,39.500497,-111.001006,top,0
REF**,154.499508,-93.999002,top,0
REF**,28.000997,-166.833428,top,0
REF**,86.500501,-146.00101,top,0
REF**,155.499508,-76.001,top,0
REF**,143.500005,-41.000998,top,0
REF**,133.500502,-58.998999,top,0
REF**,145.500005,-163.999006,top,0
REF**,50.499998,-93.999001,top,0
REF**,85.500501,-146.00101,top,0
REF**,28.000997,-33.166081,top,0
REF**,131.500502,-58.998999,top,0
REF**,62.499499,-163.99901,top,0
REF**,95.500002,-146.001007,top,0
REF**,28.000997,-30.665831,top,0
REF**,62.499499,-93.999002,top,0
REF**,107.499502,-93.999002,top,0
REF**,177.165593,-163.999015,top,0
REF**,51.499998,-58.998998,top,0
REF**,75.001001,-154.500006,top,0
REF**,49.499998,-111.001004,top,0
REF**,19.334663,-163.999015,top,0
REF**,134.500502,-128.999002,top,0
REF**,50.499998,-146.001006,top,0
REF**,71.998998,-84.500001,top,0
REF**,28.000997,-170.167095,top,0
REF**,16.000997,-41.000998,top,0
REF**,142.500005,-93.999001,top,0
REF**,108.499502,-41.000999,top,0
REF**,95.500002,-163.999005,top,0
REF**,40.500497,-111.001005,top,0
REF**,38.500497,-128.999001,top,0
REF**,143.500005,-163.999006,top,0
REF**,21.834913,-163.999015,top,0
REF**,144.500005,-76.001001,top,0
REF**,75.001001,-119.500003,top,0
REF**,48.499998,-93.999001,top,0
REF**,155.499508,-58.998998,top,0
REF**,118.999002,-118.500003,top,0
REF**,131.500502,-146.00101,top,0
REF**,28.000998,-86.500001,top,0
REF**,154.499508,-41.000999,top,0
REF**,131.500502,-93.999,top,0
